nta_code,year,eviction_count
Allerton-Pelham Gardens,2017,36
Allerton-Pelham Gardens,2018,37
Allerton-Pelham Gardens,2019,42
Allerton-Pelham Gardens,2020,6
Allerton-Pelham Gardens,2022,10
Allerton-Pelham Gardens,2023,21
Allerton-Pelham Gardens,2024,19
Allerton-Pelham Gardens,2025,20
Allerton-Pelham Gardens,2026,4
Annadale-Huguenot-Prince's Bay-Eltingville,2017,6
Annadale-Huguenot-Prince's Bay-Eltingville,2018,3
Annadale-Huguenot-Prince's Bay-Eltingville,2019,4
Annadale-Huguenot-Prince's Bay-Eltingville,2021,1
Annadale-Huguenot-Prince's Bay-Eltingville,2022,6
Annadale-Huguenot-Prince's Bay-Eltingville,2023,11
Annadale-Huguenot-Prince's Bay-Eltingville,2024,10
Annadale-Huguenot-Prince's Bay-Eltingville,2025,4
Annadale-Huguenot-Prince's Bay-Eltingville,2026,2
Arden Heights,2017,2
Arden Heights,2018,2
Arden Heights,2019,11
Arden Heights,2020,2
Arden Heights,2022,6
Arden Heights,2023,10
Arden Heights,2024,10
Arden Heights,2025,8
Astoria,2017,97
Astoria,2018,65
Astoria,2019,76
Astoria,2020,15
Astoria,2022,15
Astoria,2023,46
Astoria,2024,93
Astoria,2025,95
Astoria,2026,18
Auburndale,2017,8
Auburndale,2018,6
Auburndale,2019,5
Auburndale,2020,2
Auburndale,2022,4
Auburndale,2023,8
Auburndale,2024,19
Auburndale,2025,11
Baisley Park,2017,68
Baisley Park,2018,83
Baisley Park,2019,74
Baisley Park,2020,19
Baisley Park,2021,3
Baisley Park,2022,15
Baisley Park,2023,37
Baisley Park,2024,47
Baisley Park,2025,52
Baisley Park,2026,6
Bath Beach,2017,46
Bath Beach,2018,42
Bath Beach,2019,17
Bath Beach,2020,7
Bath Beach,2021,1
Bath Beach,2022,19
Bath Beach,2023,24
Bath Beach,2024,36
Bath Beach,2025,24
Bath Beach,2026,1
Battery Park City-Lower Manhattan,2017,38
Battery Park City-Lower Manhattan,2018,38
Battery Park City-Lower Manhattan,2019,35
Battery Park City-Lower Manhattan,2020,6
Battery Park City-Lower Manhattan,2021,2
Battery Park City-Lower Manhattan,2022,28
Battery Park City-Lower Manhattan,2023,53
Battery Park City-Lower Manhattan,2024,57
Battery Park City-Lower Manhattan,2025,61
Battery Park City-Lower Manhattan,2026,4
Bay Ridge,2017,98
Bay Ridge,2018,101
Bay Ridge,2019,81
Bay Ridge,2020,21
Bay Ridge,2021,1
Bay Ridge,2022,36
Bay Ridge,2023,72
Bay Ridge,2024,50
Bay Ridge,2025,81
Bay Ridge,2026,4
Bayside-Bayside Hills,2017,18
Bayside-Bayside Hills,2018,24
Bayside-Bayside Hills,2019,15
Bayside-Bayside Hills,2020,4
Bayside-Bayside Hills,2021,1
Bayside-Bayside Hills,2022,5
Bayside-Bayside Hills,2023,16
Bayside-Bayside Hills,2024,17
Bayside-Bayside Hills,2025,30
Bayside-Bayside Hills,2026,3
Bedford,2017,127
Bedford,2018,124
Bedford,2019,127
Bedford,2020,12
Bedford,2021,4
Bedford,2022,35
Bedford,2023,65
Bedford,2024,95
Bedford,2025,96
Bedford,2026,13
Bedford Park-Fordham North,2017,366
Bedford Park-Fordham North,2018,312
Bedford Park-Fordham North,2019,232
Bedford Park-Fordham North,2020,41
Bedford Park-Fordham North,2021,2
Bedford Park-Fordham North,2022,55
Bedford Park-Fordham North,2023,211
Bedford Park-Fordham North,2024,203
Bedford Park-Fordham North,2025,246
Bedford Park-Fordham North,2026,25
Bellerose,2017,14
Bellerose,2018,15
Bellerose,2019,11
Bellerose,2020,4
Bellerose,2022,4
Bellerose,2023,4
Bellerose,2024,14
Bellerose,2025,17
