nta_code,nta_name,borough_name,year,renter_hh_total,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50plus,total_occupied_units,owner_occupied,renter_occupied,total_housing_units,vacant_units,labor_force,unemployed,population,renter_hh_crowding_total,severe_crowding_renter,total_workers,transit_workers,median_hh_income,renter_median_income,median_gross_rent,median_contract_rent,gini_coefficient,rent_burden_30plus_pct,rent_burden_50plus_pct,vacancy_rate,renter_share,homeownership_rate,unemployment_rate,severe_crowding_rate,transit_commute_rate,renter_income_ratio,income_gap,eviction_count,eviction_rate,zillow_rent_index,covid_year,borough_code,median_hh_income_lag1,renter_median_income_lag1,unemployment_rate_lag1,rent_burden_30plus_pct_lag1,vacancy_rate_lag1,median_gross_rent_lag1,income_growth_yoy,rent_growth_yoy
BK0101,Greenpoint,Brooklyn,2012,9672.0,826.0,297.0,829.0,2229.0,11987.0,2315.0,9672.0,13857.0,1870.0,16553.0,1104.0,24667.0,11987.0,5.0,15198.0,9427.0,63347.53622248348,62110.06328292861,1357.4467912595776,1270.3109012040377,0.4361899663518061,0.43227874276261374,0.2304590570719603,0.13494984484376127,0.8068741136230917,0.1931258863769083,0.06669485893795686,0.00041711854509051473,0.6202789840768522,0.9804653343547769,1237.4729395548711,0.0,0.0,,0,2,,,,,,,,
BK0101,Greenpoint,Brooklyn,2013,9742.0,809.0,325.0,718.0,2294.0,12029.0,2287.0,9742.0,13842.0,1813.0,16657.0,1075.0,24739.0,12029.0,0.0,15330.0,9695.0,66628.25833703869,64385.282590242125,1484.2334775051538,1406.0418367759407,0.4319058773596346,0.42557996304660234,0.2354752617532334,0.13097818234359196,0.8098761326793582,0.1901238673206418,0.06453743171039203,0.0,0.632420091324201,0.9663359691101262,2242.975746796561,0.0,0.0,,0,2,63347.53622248348,62110.06328292861,0.06669485893795686,0.43227874276261374,0.13494984484376127,1357.4467912595776,0.05178926143288276,0.09340085155597921
BK0101,Greenpoint,Brooklyn,2014,9618.0,795.0,328.0,626.0,2328.0,12236.0,2618.0,9618.0,13878.0,1642.0,17187.0,1221.0,25434.0,12236.0,0.0,15794.0,10126.0,68667.69100416765,66775.2040182433,1575.8199260831957,1477.190728945506,0.4040981009672092,0.4238927011852776,0.24204616344354335,0.11831676034010664,0.7860411899313501,0.21395881006864992,0.07104206667830337,0.0,0.6411295428643788,0.9724399210422048,1892.4869859243481,0.0,0.0,,0,2,66628.25833703869,64385.282590242125,0.06453743171039203,0.42557996304660234,0.13097818234359196,1484.2334775051538,0.030609124687193567,0.061706227467655195
BK0101,Greenpoint,Brooklyn,2015,9581.0,664.0,381.0,548.0,2291.0,12178.0,2597.0,9581.0,13573.0,1395.0,17468.0,1114.0,25431.0,12178.0,0.0,16086.0,10356.0,73339.49168337855,74495.87169202941,1681.5290786834964,1583.5789390900868,0.41475223546065826,0.4053856591170024,0.23911908986535851,0.10277757312311206,0.7867465922154705,0.2132534077845295,0.06377375772841767,0.0,0.6437896307348004,1.0157674941850316,-1156.3800086508563,0.0,0.0,2542.45112817879,0,2,68667.69100416765,66775.2040182433,0.07104206667830337,0.4238927011852776,0.11831676034010664,1575.8199260831957,0.06803491730816114,0.0670820002022996
BK0101,Greenpoint,Brooklyn,2016,9929.0,681.0,440.0,631.0,2499.0,12521.0,2592.0,9929.0,13501.0,980.0,17798.0,940.0,25684.0,12521.0,0.0,16546.0,10928.0,76019.04166017754,76201.72301822146,1804.763588226133,1693.5046332346988,0.4206013743965114,0.4281397925269413,0.2516869775405378,0.07258721576179543,0.7929877805287118,0.20701221947128823,0.052814923025058996,0.0,0.6604617430194609,1.0024030999872446,-182.68135804391932,0.0,0.0,2585.0981890333874,0,2,73339.49168337855,74495.87169202941,0.06377375772841767,0.4053856591170024,0.10277757312311206,1681.5290786834964,0.036536249642513674,0.07328717124482864
BK0101,Greenpoint,Brooklyn,2017,10192.0,630.0,508.0,568.0,2671.0,12685.0,2493.0,10192.0,13636.0,951.0,17934.0,853.0,26255.0,12685.0,0.0,16684.0,11071.0,79431.61569224909,80751.97848028947,1848.4711483526946,1743.1671300704627,0.43974529042087224,0.42945447409733123,0.26206828885400313,0.06974185978292755,0.8034686637761135,0.19653133622388652,0.047563287610126015,0.0,0.6635698873171901,1.0166226354145433,-1320.36278804038,0.0,0.0,2522.0616035426856,0,2,76019.04166017754,76201.72301822146,0.052814923025058996,0.4281397925269413,0.07258721576179543,1804.763588226133,0.04489104252756215,0.02421788671474756
BK0101,Greenpoint,Brooklyn,2018,10152.0,696.0,527.0,546.0,2490.0,12526.0,2374.0,10152.0,13603.0,1077.0,18055.0,865.0,26040.0,12526.0,0.0,16833.0,10941.0,89830.31816436251,87998.4096390169,1976.2475038402458,1881.2537250384025,0.44172572964669743,0.41952324665090623,0.24527186761229314,0.07917371168124679,0.8104742136356379,0.18952578636436213,0.047909166435890334,0.0,0.6499732667973623,0.9796070128350901,1831.9085253456142,0.0,0.0,2457.4444130993297,0,2,79431.61569224909,80751.97848028947,0.047563287610126015,0.42945447409733123,0.06974185978292755,1848.4711483526946,0.13091389847088464,0.06912542595074966
BK0101,Greenpoint,Brooklyn,2019,10374.0,693.0,565.0,559.0,2189.0,12702.0,2328.0,10374.0,13699.0,997.0,18373.0,582.0,26308.0,12702.0,0.0,17410.0,11190.0,98003.57788505398,93077.91352440322,2055.4302113425574,1974.9580735897825,0.4470596320510871,0.38615770194717564,0.21100828995565837,0.07277903496605592,0.8167217760982523,0.18327822390174775,0.03167691721547924,0.0,0.6427340608845491,0.949739953714466,4925.664360650757,0.0,0.0,2526.866672119508,0,2,89830.31816436251,87998.4096390169,0.047909166435890334,0.41952324665090623,0.07917371168124679,1976.2475038402458,0.09098553681772392,0.04006720177935397
BK0101,Greenpoint,Brooklyn,2020,13843.0,908.0,909.0,822.0,2748.0,16743.0,2900.0,13843.0,18124.0,1381.0,23314.0,1457.0,34503.0,16743.0,0.0,21359.0,12573.0,99016.3017998435,95672.0666029041,2099.6970988030025,2019.268614323392,0.4394113671274962,0.3891497507765658,0.19851188326229863,0.07619730743765173,0.8267932867467002,0.17320671325329984,0.06249463841468646,0.0,0.5886511540802472,0.9662254079767633,3344.235196939393,0.0,0.0,2389.994817646292,1,2,98003.57788505398,93077.91352440322,0.03167691721547924,0.38615770194717564,0.07277903496605592,2055.4302113425574,0.010333540230309968,0.021536555810148794
BK0101,Greenpoint,Brooklyn,2021,14318.0,1139.0,903.0,690.0,2528.0,17487.0,3169.0,14318.0,19000.0,1513.0,26053.0,1938.0,37518.0,17487.0,0.0,23575.0,12063.0,109799.27088330935,106921.83325337172,2275.9462924462923,2183.334772642465,0.42777103257103255,0.36736974437770636,0.17656097220282163,0.07963157894736841,0.8187796648939212,0.18122033510607882,0.0743868268529536,0.0,0.5116861081654295,0.9737936544861425,2877.437629937631,0.0,0.0,2320.1068260149627,1,2,99016.3017998435,95672.0666029041,0.06249463841468646,0.3891497507765658,0.07619730743765173,2099.6970988030025,0.10890094749512147,0.08394029488527943
BK0101,Greenpoint,Brooklyn,2022,14808.0,1083.0,861.0,623.0,2434.0,18007.0,3199.0,14808.0,19564.0,1557.0,26640.0,1958.0,38260.0,18007.0,0.0,24177.0,11338.0,126127.07707788813,123098.49534762153,2491.895347621537,2354.3360690015684,0.4161459853633037,0.3377228525121556,0.1643706104808212,0.07958495195256594,0.8223468651080136,0.17765313489198642,0.0734984984984985,0.0,0.46895810067419447,0.9759878544684236,3028.5817302665964,0.0,0.0,2570.6550609206206,0,2,109799.27088330935,106921.83325337172,0.0743868268529536,0.36736974437770636,0.07963157894736841,2275.9462924462923,0.1487059619178288,0.09488319469223172
BK0102,Williamsburg,Brooklyn,2012,16306.0,1636.0,764.0,1391.0,4497.0,19172.0,2866.0,16306.0,20944.0,1772.0,27035.0,1754.0,46070.0,19172.0,99.0,24791.0,15990.0,50604.353722596046,45266.49481224224,1270.127067505969,1156.5830041241588,0.4910242761015845,0.5082791610450141,0.27578805347724766,0.08460656990068754,0.8505111621114124,0.14948883788858758,0.06487886073608286,0.005163780513248488,0.6449921342422653,0.8945177930813032,5337.858910353803,0.0,0.0,,0,2,,,,,,,,
BK0102,Williamsburg,Brooklyn,2013,17460.0,1622.0,846.0,1378.0,4300.0,20484.0,3024.0,17460.0,22149.0,1665.0,29848.0,2141.0,49551.0,20484.0,47.0,27320.0,18083.0,55145.98849670037,51335.24015660633,1333.9471655466086,1240.3008415571835,0.4887232023571673,0.4665521191294387,0.24627720504009165,0.07517269402681837,0.8523725834797891,0.14762741652021094,0.07173009916912355,0.002294473735598516,0.661896046852123,0.9308970889093401,3810.74834009404,0.0,0.0,,0,2,50604.353722596046,45266.49481224224,0.06487886073608286,0.5082791610450141,0.08460656990068754,1270.127067505969,0.08974790586202808,0.05024701832861278
BK0102,Williamsburg,Brooklyn,2014,18049.0,1642.0,919.0,1443.0,4474.0,21475.0,3426.0,18049.0,23276.0,1801.0,32058.0,2264.0,50995.0,21475.0,8.0,29204.0,19730.0,60663.61594273948,55837.06130012746,1426.1790959898028,1349.8564761251102,0.484283667026179,0.4697213142002327,0.2478807690176741,0.07737583777281319,0.8404656577415599,0.1595343422584401,0.0706219976292969,0.00037252619324796275,0.6755923846048486,0.9204374060529492,4826.55464261202,0.0,0.0,,0,2,55145.98849670037,51335.24015660633,0.07173009916912355,0.4665521191294387,0.07517269402681837,1333.9471655466086,0.10005491961340507,0.06914211658855351
BK0102,Williamsburg,Brooklyn,2015,18810.0,1748.0,932.0,1516.0,4357.0,22422.0,3612.0,18810.0,23996.0,1574.0,33462.0,2241.0,52985.0,22422.0,9.0,30564.0,20912.0,63759.38407096348,61871.01675338918,1607.4930829480043,1495.628234405964,0.4869724903274512,0.4547049441786284,0.231632110579479,0.06559426571095182,0.8389082151458389,0.1610917848541611,0.06697149004841313,0.0004013914905004014,0.6842036382672425,0.9703829115495757,1888.3673175743024,0.0,0.0,2542.45112817879,0,2,60663.61594273948,55837.06130012746,0.0706219976292969,0.4697213142002327,0.07737583777281319,1426.1790959898028,0.051031711184939876,0.12713269144669748
