geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36005001901,005,Bronx,2,001901,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005001902,005,Bronx,2,001902,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005001903,005,Bronx,2,001903,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005002300,005,Bronx,2,002300,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005002500,005,Bronx,2,002500,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005002701,005,Bronx,2,002701,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005002702,005,Bronx,2,002702,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005003100,005,Bronx,2,003100,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005003300,005,Bronx,2,003300,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005003500,005,Bronx,2,003500,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005003700,005,Bronx,2,003700,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005003900,005,Bronx,2,003900,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005004100,005,Bronx,2,004100,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005004300,005,Bronx,2,004300,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005005100,005,Bronx,2,005100,BX0101,Mott Haven-Port Morris,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005006500,005,Bronx,2,006500,BX0102,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005006700,005,Bronx,2,006700,BX0102,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005006900,005,Bronx,2,006900,BX0102,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005007100,005,Bronx,2,007100,BX0102,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
36005007300,005,Bronx,2,007300,BX0102,Melrose,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)
